"age","job","marital","education","default","balance","housing","loan","contact","y","price"
57,"technician","divorced","secondary","no",63,"yes","no","unknown","no",19
25,"blue-collar","married","secondary","no",-7,"yes","no","unknown","no",22
53,"technician","married","secondary","no",-3,"no","no","unknown","no",58
36,"admin.","divorced","secondary","no",506,"yes","no","unknown","no",67
37,"admin.","single","secondary","no",0,"yes","no","unknown","no",46
44,"services","divorced","secondary","no",2586,"yes","no","unknown","no",33
50,"","married","secondary","no",49,"yes","no","unknown","no",31
60,"","married","unknown","no",104,"yes","no","unknown","no",67
54,"retired","married","secondary","no",529,"yes","no","unknown","no",27
58,"retired","married","unknown","no",96,"yes","no","unknown","no",25
36,"admin.","single","primary","no",-171,"yes","no","unknown","no",70
58,"self-employe","married","tertiary","",-364,"yes","no","unknown","no",29
44,"technician","married","secondary","no",0,"yes","no","unknown","no",21
55,"technician","divorced","secondary","no",0,"no","no","unknown","no",28
29,"management","single","tertiary","no",0,"yes","no","unknown","no",64
54,"blue-collar","married","secondary","no",1291,"yes","no","unknown","no",53
48,"management","divorced","tertiary","no",-244,"yes","no","unknown","no",34
32,"management","married","tertiary","no",0,"yes","no","unknown","no",14
42,"admin.","single","secondary","no",-76,"yes","no","unknown","no",35
24,"technician","single","secondary","no",2,"yes","yes","unknown","no",78
38,"entrepreneur","single","tertiary","no",243,"no","yes","unknown","no",100
38,"management","single","tertiary","no",424,"yes","no","unknown","no",55
47,"blue-collar","","unknown","no",306,"yes","no","unknown","no",36
40,"blue-collar","single","unknown","no",24,"yes","no","unknown","no",40
46,"services","married","primary","no",179,"yes","no","unknown","no",24
32,"admin.","married","tertiary","no",0,"yes","no","unknown","no",39
53,"technician","divorced","secondary","no",989,"yes","no","unknown","no",20
57,"blue-collar","married","primary","no",1167,"yes","no","unknown","no",58
33,"services","married","secondary","no",790,"yes","no","unknown","no",19
49,"blue-collar","married","unknown","no",154,"yes","no","unknown","no",46
51,"management","","tertiary","no",6530,"yes","no","unknown","no",93
60,"retired","married","tertiary","no",100,"no","no","unknown","no",77
59,"management","divorced","tertiary","",59,"yes","no","unknown","no",29
55,"technician","married","secondary","no",1205,"yes","no","unknown","no",44
35,"blue-collar","single","secondary","",12223,"yes","yes","unknown","no",118
57,"blue-collar","married","secondary","no",5935,"yes","yes","unknown","no",87
31,"","married","secondary","no",25,"yes","yes","unknown","no",75
54,"","married","secondary","no",282,"yes","yes","unknown","no",65
55,"blue-collar","married","primary","no",23,"yes","no","unknown","no",20
43,"technician","married","secondary","no",1937,"yes","no","unknown","no",54
53,"technician","married","secondary","no",384,"yes","no","unknown","no",23
44,"blue-collar","married","secondary","no",582,"no","yes","unknown","no",72
55,"services","divorced","secondary","",91,"no","no","unknown","no",35
49,"services","divorced","secondary","no",0,"yes","yes","unknown","no",36
55,"services","divorced","secondary","yes",1,"yes","no","unknown","no",51
45,"admin.","single","secondary","no",206,"yes","no","unknown","no",28
47,"services","divorced","secondary","",164,"no","no","unknown","no",44
42,"technician","single","secondary","no",690,"yes","no","unknown","no",33
59,"admin.","married","secondary","no",2343,"yes","no","unknown","ye",62
46,"self-employe","married","tertiary","no",137,"yes","yes","unknown","no",81
51,"blue-collar","married","primary","no",173,"yes","no","unknown","no",42
56,"admin.","married","secondary","no",45,"no","no","unknown","ye",61
41,"technician","married","secondary","no",1270,"yes","no","unknown","ye",61
46,"","divorced","secondary","no",16,"yes","yes","unknown","no",56
57,"retired","married","secondary","no",486,"yes","no","unknown","no",36
42,"management","single","secondary","no",50,"no","no","unknown","no",72
30,"technician","married","secondary","no",152,"yes","yes","unknown","no",54
60,"admin.","married","secondary","",290,"yes","no","unknown","no",19
60,"blue-collar","married","unknown","no",54,"yes","no","unknown","no",30
57,"entrepreneur","divorced","secondary","no",-37,"no","no","unknown","no",49
36,"management","married","tertiary","no",101,"yes","yes","unknown","no",70
55,"blue-collar","married","secondary","no",383,"no","no","unknown","no",37
60,"retired","married","tertiary","no",81,"yes","no","unknown","no",33
39,"technician","married","","no",0,"yes","no","unknown","no",49
46,"management","married","tertiary","no",-867,"yes","no","unknown","no",35
44,"blue-collar","married","secondary","no",-674,"yes","no","unknown","no",37
48,"blue-collar","married","primary","no",90,"no","no","unknown","no",44
52,"blue-collar","married","primary","no",128,"yes","no","unknown","no",54
59,"blue-collar","married","primary","no",179,"yes","no","unknown","no",54
27,"technician","single","tertiary","no",0,"yes","no","unknown","no",59
44,"blue-collar","married","secondary","no",54,"yes","no","unknown","no",30
47,"technician","married","tertiary","no",151,"yes","no","unknown","no",37
34,"admin.","married","secondary","no",61,"no","yes","unknown","no",72
59,"retired","single","secondary","no",30,"yes","no","unknown","no",30
45,"management","married","tertiary","no",523,"yes","no","unknown","no",33
29,"services","divorced","secondary","no",31,"yes","no","unknown","no",22
46,"technician","divorced","secondary","no",79,"no","no","unknown","no",32
56,"self-employe","married","primary","no",-34,"yes","yes","unknown","no",75
36,"","married","primary","no",448,"yes","no","unknown","no",69
59,"retired","divorced","primary","no",81,"yes","no","unknown","no",46
44,"blue-collar","married","secondary","no",144,"yes","no","unknown","no",11
41,"admin.","married","secondary","no",351,"yes","no","unknown","no",28
33,"management","","tertiary","no",-67,"yes","no","unknown","no",53
59,"management","divorced","tertiary","no",262,"no","no","unknown","no",56
57,"technician","married","primary","no",0,"no","no","unknown","no",61
56,"technician","divorced","unknown","no",56,"yes","no","unknown","no",45
51,"blue-collar","married","secondary","no",26,"yes","no","unknown","no",31
34,"admin.","married","unknown","no",3,"yes","","unknown","no",41
43,"services","married","secondary","no",41,"yes","yes","unknown","no",30
52,"technician","married","tertiary","no",7,"no","yes","unknown","no",79
33,"technician","single","secondary","no",105,"yes","no","unknown","no",37
29,"admin.","single","secondary","no",818,"yes","yes","unknown","no",55
34,"services","married","secondary","no",-16,"yes","yes","unknown","no",62
31,"blue-collar","married","secondary","no",0,"yes","no","unknown","no",18
55,"services","married","","no",2476,"yes","no","unknown","ye",85
55,"management","married","unknown","no",1185,"no","no","unknown","no",87
32,"admin.","single","secondary","no",217,"yes","no","unknown","no",34
38,"technician","single","secondary","no",1685,"yes","no","unknown","no",80
55,"admin.","single","secondary","no",802,"yes","yes","unknown","no",45
28,"unemployed","single","tertiary","no",0,"yes","no","unknown","no",78
32,"blue-collar","married","secondary","no",94,"yes","no","unknown","no",24
32,"","single","secondary","no",0,"yes","no","unknown","no",83
43,"services","single","unknown","no",0,"no","no","unknown","no",69
32,"blue-collar","married","secondary","no",517,"yes","no","unknown","no",1
46,"blue-collar","married","secondary","no",265,"yes","no","unknown","no",42
53,"housemaid","divorced","primary","no",947,"yes","no","unknown","no",34
34,"self-employe","single","","no",3,"yes","no","unknown","no",64
57,"unemployed","married","tertiary","no",42,"no","no","unknown","no",75
37,"blue-collar","married","secondary","no",37,"yes","no","unknown","no",27
59,"blue-collar","married","secondary","no",57,"yes","no","unknown","no",23
33,"services","married","secondary","no",22,"yes","no","unknown","no",40
56,"blue-collar","divorced","primary","no",8,"yes","no","unknown","no",51
48,"unemployed","","secondary","",293,"","no","unknown","no",68
43,"services","married","primary","",3,"yes","no","unknown","no",35
54,"blue-collar","married","primary","no",348,"yes","no","unknown","no",58
51,"blue-collar","married","unknown","no",-19,"yes","no","unknown","no",38
26,"","single","secondary","no",0,"yes","no","unknown","no",59
40,"management","married","tertiary","no",-4,"yes","no","unknown","no",55
39,"management","married","secondary","no",18,"yes","no","unknown","no",42
50,"technician","married","primary","no",139,"no","no","unknown","no",68
41,"services","married","secondary","no",0,"yes","no","unknown","no",13
51,"blue-collar","married","unknown","no",1883,"yes","no","unknown","no",59
60,"retired","divorced","secondary","no",216,"yes","no","unknown","no",31
52,"blue-collar","","secondary","no",153,"yes","no","unknown","no",19
48,"blue-collar","married","secondary","no",904,"yes","no","unknown","no",9
48,"services","married","unknown","no",1705,"yes","no","unknown","no",51
39,"technician","single","tertiary","no",47,"yes","no","unknown","no",72
47,"services","single","secondary","no",176,"yes","","unknown","no",42
40,"blue-collar","married","secondary","no",1225,"yes","no","unknown","no",43
45,"technician","married","secondary","no",86,"yes","no","unknown","no",28
26,"admin.","single","secondary","no",0,"yes","no","unknown","no",38
52,"management","married","tertiary","no",271,"yes","no","unknown","no",41
54,"technician","","secondary","no",1378,"yes","no","unknown","no",51
54,"admin.","married","tertiary","no",184,"no","no","unknown","ye",82
50,"blue-collar","married","primary","no",0,"no","no","unknown","no",67
35,"blue-collar","married","secondary","no",0,"yes","no","unknown","no",40
44,"services","married","secondary","",1357,"yes","yes","unknown","no",66
53,"entrepreneur","married","unknown","no",19,"yes","no","unknown","no",37
35,"","single","primary","no",434,"no","no","unknown","no",109
60,"admin.","divorced","secondary","no",92,"yes","no","unknown","no",24
53,"admin.","divorced","secondary","no",1151,"yes","no","unknown","no",42
48,"unemployed","married","secondary","no",41,"yes","no","unknown","no",41
34,"technician","married","secondary","no",51,"yes","no","unknown","no",25
54,"services","married","secondary","no",214,"yes","no","unknown","no",17
51,"management","married","secondary","no",112,"yes","no","unknown","no",35
31,"services","married","tertiary","",37,"yes","no","unknown","no",42
35,"","divorced","secondary","no",787,"yes","no","unknown","no",42
35,"services","married","secondary","no",59,"yes","no","unknown","no",27
38,"","married","secondary","no",253,"yes","no","unknown","no",28
36,"admin.","married","tertiary","no",211,"yes","no","unknown","no",52
58,"retired","married","primary","no",235,"yes","no","unknown","no",45
40,"services","divorced","unknown","no",4384,"yes","no","unknown","no",88
54,"management","married","secondary","no",4080,"no","no","unknown","no",97
34,"blue-collar","single","secondary","no",53,"yes","yes","unknown","no",55
31,"management","single","tertiary","no",0,"yes","no","unknown","no",66
51,"retired","married","secondary","no",2127,"yes","no","unknown","no",57
47,"management","married","tertiary","no",377,"yes","no","unknown","no",39
55,"management","married","tertiary","no",73,"yes","no","unknown","no",44
42,"admin.","married","secondary","no",445,"yes","no","unknown","no",38
34,"blue-collar","married","secondary","no",243,"yes","no","unknown","no",18
33,"blue-collar","single","secondary","no",307,"yes","no","unknown","no",51
38,"services","married","secondary","no",155,"yes","no","unknown","no",7
50,"technician","divorced","tertiary","no",173,"no","yes","unknown","no",73
43,"management","married","tertiary","no",400,"yes","no","unknown","no",47
61,"blue-collar","divorced","primary","no",1428,"yes","no","unknown","no",65
47,"admin.","married","secondary","no",219,"yes","no","unknown","no",23
48,"self-employe","married","tertiary","no",7,"","no","unknown","no",37
44,"blue-collar","married","secondary","no",575,"yes","no","unknown","no",18
35,"","single","unknown","no",298,"yes","no","unknown","no",90
35,"services","married","secondary","no",0,"yes","no","unknown","no",21
50,"services","married","secondary","no",5699,"yes","no","unknown","no",68
41,"management","married","tertiary","no",176,"yes","yes","unknown","no",47
41,"management","married","tertiary","no",517,"","no","unknown","no",59
39,"services","single","unknown","no",257,"yes","no","unknown","no",52
42,"retired","married","secondary","no",56,"yes","no","unknown","no",24
38,"blue-collar","married","secondary","no",-390,"yes","no","unknown","no",6
53,"retired","married","secondary","no",330,"yes","no","unknown","no",14
59,"housemaid","divorced","primary","no",195,"no","no","unknown","no",46
36,"services","married","secondary","no",301,"yes","no","unknown","no",23
54,"blue-collar","married","primary","no",-41,"yes","no","unknown","no",48
40,"technician","","tertiary","no",23,"yes","no","unknown","no",51
47,"unknown","married","unknown","no",28,"no","no","unknown","no",74
53,"unemployed","married","unknown","no",13,"no","no","unknown","no",80
46,"housemaid","married","primary","no",0,"no","no","unknown","no",66
39,"management","married","tertiary","",378,"yes","yes","unknown","no",77
40,"unemployed","married","secondary","no",219,"yes","no","unknown","no",51
28,"blue-collar","married","primary","no",324,"yes","no","unknown","no",28
35,"entrepreneur","divorced","secondary","no",-69,"yes","no","unknown","no",21
55,"retired","married","secondary","no",0,"no","yes","unknown","no",53
43,"technician","divorced","unknown","no",205,"yes","no","unknown","no",52
48,"blue-collar","","primary","no",278,"","no","unknown","no",65
58,"management","married","unknown","no",1065,"yes","no","unknown","no",65
33,"management","single","tertiary","no",34,"yes","no","unknown","no",62
36,"blue-collar","married","unknown","no",1033,"no","no","unknown","no",77
53,"services","divorced","secondary","no",1467,"yes","no","unknown","no",41
49,"blue-collar","married","primary","no",-12,"yes","no","unknown","no",39
31,"services","married","secondary","no",388,"yes","no","unknown","no",17
57,"","married","secondary","no",294,"yes","no","unknown","no",30
53,"blue-collar","married","unknown","no",1827,"no","no","unknown","no",81
55,"blue-collar","married","primary","no",627,"yes","no","unknown","no",34
45,"blue-collar","married","primary","",25,"yes","no","unknown","no",41
53,"admin.","divorced","secondary","no",315,"yes","no","unknown","no",15
37,"blue-collar","married","primary","no",0,"yes","no","unknown","no",52
44,"admin.","divorced","secondary","no",66,"yes","no","unknown","no",17
49,"blue-collar","divorced","primary","no",-9,"yes","yes","unknown","no",62
46,"technician","married","secondary","no",349,"yes","yes","unknown","no",62
43,"entrepreneur","married","unknown","no",100,"yes","no","unknown","no",47
38,"admin.","married","secondary","no",0,"no","no","unknown","no",23
43,"","married","secondary","no",434,"yes","no","unknown","no",55
49,"management","married","tertiary","",3237,"yes","no","unknown","no",64
42,"management","married","unknown","no",275,"no","no","unknown","no",82
22,"blue-collar","single","secondary","no",0,"yes","no","unknown","no",74
40,"management","married","","no",207,"yes","no","unknown","no",47
39,"blue-collar","married","secondary","no",483,"yes","no","unknown","no",19
51,"services","married","secondary","no",2248,"yes","no","unknown","no",54
49,"admin.","married","secondary","no",428,"yes","no","unknown","no",20
53,"blue-collar","married","secondary","no",0,"yes","yes","unknown","no",30
34,"services","single","secondary","no",0,"yes","no","unknown","no",47
33,"technician","divorced","secondary","no",140,"yes","no","unknown","no",17
50,"management","single","tertiary","no",297,"yes","no","unknown","no",58
39,"blue-collar","married","primary","no",279,"yes","no","unknown","no",48
59,"entrepreneur","divorced","secondary","no",901,"yes","no","unknown","no",12
30,"technician","single","secondary","",2573,"yes","no","unknown","no",53
36,"services","married","secondary","no",101,"yes","yes","unknown","no",40
40,"blue-collar","married","secondary","no",475,"yes","no","unknown","no",24
53,"blue-collar","married","secondary","no",70,"yes","no","unknown","no",34
34,"management","single","tertiary","no",318,"yes","no","unknown","no",71
37,"technician","married","secondary","no",275,"yes","no","unknown","no",11
42,"management","divorced","tertiary","no",742,"yes","no","unknown","no",49
41,"entrepreneur","married","primary","no",236,"yes","no","unknown","no",46
30,"student","single","tertiary","no",25,"yes","no","unknown","no",88
37,"","single","tertiary","no",600,"yes","no","unknown","no",123
39,"admin.","divorced","secondary","no",-349,"yes","no","unknown","no",24
43,"blue-collar","married","primary","no",183,"yes","yes","unknown","no",64
51,"blue-collar","married","primary","no",0,"yes","no","unknown","no",42
42,"management","single","tertiary","no",0,"yes","yes","unknown","ye",105
40,"blue-collar","divorced","primary","no",0,"yes","no","unknown","no",47
57,"technician","married","","no",1078,"yes","no","unknown","no",47
56,"entrepreneur","divorced","secondary","no",155,"no","no","unknown","no",50
37,"admin.","married","secondary","no",190,"yes","no","unknown","no",35
59,"retired","married","secondary","no",319,"yes","no","unknown","no",25
39,"services","divorced","secondary","no",-185,"yes","no","unknown","no",14
49,"services","married","secondary","no",47,"no","no","unknown","no",47
38,"services","single","secondary","no",570,"yes","no","unknown","no",48
36,"self-employe","married","tertiary","no",19,"no","no","unknown","no",67
50,"blue-collar","married","primary","no",61,"yes","no","unknown","no",28
41,"admin.","married","secondary","no",-62,"yes","yes","unknown","no",53
54,"technician","married","tertiary","no",258,"no","no","unknown","no",86
58,"blue-collar","married","primary","no",76,"yes","no","unknown","no",48
30,"blue-collar","single","secondary","no",0,"yes","no","unknown","no",43
33,"admin.","single","secondary","no",352,"yes","no","unknown","no",43
47,"admin.","married","secondary","no",368,"yes","no","unknown","no",12
50,"technician","single","tertiary","no",339,"yes","no","unknown","no",71
32,"","married","secondary","no",1331,"yes","no","unknown","no",45
40,"self-employe","married","secondary","no",672,"yes","no","unknown","no",32
37,"management","married","tertiary","no",58,"yes","no","unknown","no",31
54,"technician","single","unknown","no",447,"yes","no","unknown","no",54
24,"student","single","secondary","",423,"yes","no","unknown","no",66
54,"management","married","tertiary","no",0,"no","no","unknown","no",54
35,"technician","married","secondary","no",19,"yes","no","unknown","no",12
56,"technician","divorced","primary","no",13,"yes","no","unknown","no",40
31,"blue-collar","single","secondary","no",3,"yes","no","unknown","no",45
24,"student","single","secondary","no",82,"yes","no","unknown","no",74
42,"blue-collar","divorced","primary","no",28,"yes","no","unknown","no",51
57,"technician","married","","no",0,"yes","no","unknown","no",47
42,"blue-collar","married","unknown","no",408,"yes","no","unknown","no",47
51,"admin.","married","secondary","no",531,"yes","no","unknown","no",35
57,"retired","married","secondary","no",211,"yes","no","unknown","no",22
36,"services","single","secondary","no",62,"yes","no","unknown","no",34
53,"services","married","unknown","no",257,"yes","no","unknown","no",29
50,"technician","married","secondary","no",1234,"yes","no","unknown","no",57
54,"management","married","tertiary","no",313,"","no","unknown","no",50
55,"blue-collar","married","secondary","",89,"yes","no","unknown","no",30
44,"blue-collar","married","secondary","no",129,"yes","yes","unknown","no",60
43,"","married","unknown","no",0,"yes","no","unknown","no",83
56,"admin.","married","secondary","no",353,"yes","no","unknown","no",22
54,"technician","married","unknown","no",851,"yes","no","unknown","no",17
55,"services","divorced","primary","",96,"yes","yes","unknown","no",60
37,"services","divorced","secondary","no",398,"yes","yes","unknown","no",52
33,"admin.","single","tertiary","no",193,"no","no","unknown","no",92
46,"admin.","married","secondary","no",-358,"yes","no","unknown","no",28
36,"blue-collar","married","secondary","no",539,"yes","yes","unknown","no",35
51,"technician","single","secondary","no",0,"yes","no","unknown","no",40
40,"retired","single","primary","no",0,"no","no","unknown","no",70
42,"blue-collar","married","secondary","no",490,"yes","no","unknown","no",17
51,"blue-collar","married","secondary","no",0,"yes","no","unknown","no",18
49,"blue-collar","married","unknown","no",403,"yes","no","unknown","no",52
56,"management","married","secondary","no",161,"yes","no","unknown","no",16
32,"technician","divorced","tertiary","no",2558,"no","no","unknown","no",84
31,"admin.","single","secondary","no",98,"yes","no","unknown","no",45
55,"management","single","tertiary","no",115,"no","no","unknown","no",79
40,"blue-collar","single","secondary","no",436,"yes","no","unknown","no",42
47,"technician","married","tertiary","no",831,"yes","no","unknown","no",62
57,"technician","married","unknown","no",206,"yes","no","unknown","no",41
41,"blue-collar","married","secondary","no",290,"yes","no","unknown","no",26
48,"blue-collar","married","secondary","no",1,"no","no","unknown","no",43
42,"blue-collar","married","unknown","no",57,"yes","no","unknown","no",40
30,"blue-collar","single","secondary","no",-457,"yes","no","unknown","no",45
58,"management","single","tertiary","no",1387,"yes","no","unknown","no",89
45,"management","divorced","tertiary","no",24598,"yes","no","unknown","no",104
49,"blue-collar","married","secondary","no",30,"yes","no","unknown","no",25
42,"admin.","single","secondary","no",1022,"yes","no","unknown","no",65
53,"technician","married","secondary","no",56,"yes","yes","unknown","no",42
51,"admin.","single","secondary","yes",-2,"no","no","unknown","no",87
32,"services","single","secondary","no",121,"yes","no","unknown","no",40
41,"blue-collar","single","secondary","no",842,"yes","no","unknown","no",54
43,"","divorced","secondary","no",693,"yes","no","unknown","no",38
40,"blue-collar","divorced","secondary","no",-333,"yes","no","unknown","no",12
50,"","married","primary","no",1533,"yes","no","unknown","no",89
34,"management","married","tertiary","no",46,"yes","no","unknown","no",31
53,"services","married","unknown","no",18,"no","no","unknown","no",69
45,"technician","married","secondary","no",44,"yes","no","unknown","no",29
39,"blue-collar","married","primary","no",-100,"yes","no","unknown","no",36
44,"services","married","tertiary","no",510,"yes","no","unknown","no",36
55,"management","married","tertiary","no",685,"yes","no","unknown","no",27
46,"management","single","tertiary","no",187,"yes","no","unknown","no",42
45,"blue-collar","married","secondary","no",66,"yes","no","unknown","no",17
41,"admin.","married","secondary","no",560,"yes","no","unknown","no",14
36,"blue-collar","married","secondary","no",0,"yes","no","unknown","no",12
59,"unknown","divorced","unknown","no",27,"no","no","unknown","no",80
31,"admin.","single","secondary","no",12,"yes","no","unknown","no",60
44,"blue-collar","single","secondary","no",34,"yes","no","unknown","no",41
33,"entrepreneur","single","tertiary","no",1068,"yes","no","unknown","no",83
40,"blue-collar","married","secondary","no",211,"yes","no","unknown","no",24
46,"admin.","single","tertiary","no",377,"yes","no","unknown","no",66
48,"management","married","tertiary","",263,"yes","no","unknown","no",35
42,"services","married","secondary","no",1263,"yes","no","unknown","no",46
27,"services","married","secondary","no",8,"yes","no","unknown","no",39
48,"admin.","married","secondary","no",126,"yes","yes","unknown","no",39
59,"","married","secondary","no",230,"yes","no","unknown","no",44
46,"technician","married","tertiary","no",841,"yes","no","unknown","no",43
38,"admin.","divorced","secondary","no",308,"yes","no","unknown","no",25
43,"management","","tertiary","no",1,"yes","no","unknown","no",14
38,"admin.","divorced","tertiary","no",86,"yes","no","unknown","no",34
23,"student","single","secondary","no",157,"yes","no","unknown","no",43
34,"","married","secondary","no",22,"yes","no","unknown","no",46
38,"admin.","married","secondary","no",46,"yes","yes","unknown","no",43
37,"","married","secondary","no",1293,"no","no","unknown","no",84
25,"admin.","single","secondary","no",122,"yes","no","unknown","no",57
48,"blue-collar","married","unknown","no",131,"yes","no","unknown","no",43
49,"blue-collar","single","secondary","no",143,"yes","no","unknown","no",44
38,"admin.","single","secondary","no",393,"no","no","unknown","no",78
43,"blue-collar","married","primary","no",98,"yes","no","unknown","no",44
33,"management","married","tertiary","no",0,"","no","unknown","no",44
55,"blue-collar","married","secondary","no",224,"yes","no","unknown","no",34
38,"blue-collar","married","secondary","no",757,"yes","no","unknown","no",25
49,"services","married","secondary","no",245,"yes","yes","unknown","no",36
40,"management","married","secondary","no",8486,"no","no","unknown","no",93
43,"admin.","married","unknown","no",350,"no","no","unknown","no",74
38,"blue-collar","married","secondary","no",20,"yes","no","unknown","no",24
58,"services","married","secondary","no",1667,"yes","yes","unknown","no",53
57,"technician","married","unknown","no",345,"yes","no","unknown","no",42
32,"","married","secondary","no",10,"yes","no","unknown","no",51
56,"management","married","tertiary","no",830,"yes","yes","unknown","ye",86
58,"blue-collar","divorced","unknown","no",29,"yes","no","unknown","no",62
60,"retired","divorced","secondary","no",545,"yes","no","unknown","ye",47
37,"","married","tertiary","no",8730,"yes","no","unknown","no",97
46,"technician","divorced","tertiary","no",477,"yes","no","unknown","no",41
27,"admin.","married","secondary","no",4,"yes","no","unknown","no",29
43,"blue-collar","married","secondary","no",1205,"yes","no","unknown","no",49
32,"technician","single","secondary","no",0,"yes","yes","unknown","no",63
40,"admin.","single","secondary","no",263,"yes","no","unknown","no",31
29,"admin.","married","secondary","no",1,"no","no","unknown","no",49
34,"blue-collar","married","secondary","no",283,"no","yes","unknown","no",95
47,"blue-collar","married","primary","no",206,"yes","no","unknown","no",54
42,"housemaid","married","primary","no",17,"yes","no","unknown","no",57
48,"technician","married","secondary","no",141,"yes","yes","unknown","no",45
29,"self-employe","single","tertiary","no",16,"yes","no","unknown","no",60
50,"services","married","secondary","no",206,"yes","no","unknown","no",27
52,"technician","married","unknown","no",7,"no","no","unknown","no",79
50,"management","married","tertiary","no",0,"no","no","unknown","no",82
58,"retired","married","tertiary","no",0,"no","no","unknown","no",60
46,"blue-collar","divorced","primary","no",1927,"yes","no","unknown","no",85
38,"technician","married","secondary","no",284,"yes","no","unknown","no",14
46,"blue-collar","married","secondary","no",1660,"yes","no","unknown","no",53
32,"services","single","secondary","no",406,"yes","no","unknown","no",38
51,"","married","primary","no",230,"yes","no","unknown","no",66
39,"admin.","single","secondary","no",-25,"yes","no","unknown","no",37
48,"admin.","married","secondary","no",182,"yes","no","unknown","no",20
36,"entrepreneur","married","tertiary","no",1169,"yes","no","unknown","no",72
34,"admin.","divorced","secondary","no",67,"yes","no","unknown","no",12
40,"technician","married","secondary","no",77,"no","no","unknown","no",38
43,"unemployed","married","secondary","no",0,"yes","no","unknown","no",47
52,"blue-collar","divorced","primary","no",55,"yes","yes","unknown","no",78
33,"technician","married","secondary","yes",72,"yes","no","unknown","no",58
49,"management","single","tertiary","no",163,"yes","no","unknown","no",77
32,"","single","tertiary","no",151,"yes","no","unknown","no",99
39,"admin.","single","secondary","no",113,"yes","no","unknown","no",56
40,"blue-collar","married","secondary","no",0,"yes","no","unknown","no",37
38,"technician","single","tertiary","no",9,"yes","no","unknown","no",67
43,"management","married","secondary","no",375,"yes","no","unknown","no",30
39,"services","married","secondary","no",1142,"yes","no","unknown","no",54
54,"blue-collar","married","primary","no",2102,"yes","no","unknown","no",66
38,"technician","single","tertiary","no",4325,"yes","no","unknown","no",124
40,"blue-collar","married","secondary","no",217,"yes","no","unknown","no",11
55,"admin.","married","secondary","no",131,"yes","no","unknown","no",38
34,"management","married","tertiary","no",1680,"yes","no","unknown","no",67
39,"blue-collar","married","secondary","no",0,"yes","no","unknown","no",34
40,"blue-collar","married","primary","no",46,"yes","no","unknown","no",44
32,"blue-collar","married","secondary","no",320,"yes","no","unknown","no",27
55,"admin.","married","secondary","no",183,"yes","no","unknown","no",23
45,"blue-collar","married","secondary","no",39,"no","no","unknown","no",44
35,"","single","tertiary","",560,"yes","no","unknown","no",81
58,"technician","divorced","secondary","no",469,"no","no","unknown","no",25
33,"admin.","married","secondary","no",530,"yes","no","unknown","no",10
49,"services","married","","no",61,"yes","no","unknown","no",42
34,"technician","single","tertiary","no",242,"","no","unknown","no",47
36,"blue-collar","married","secondary","no",139,"yes","no","unknown","no",40
24,"self-employe","single","secondary","no",0,"yes","no","unknown","no",36
34,"technician","married","secondary","no",367,"yes","no","unknown","no",14
51,"admin.","divorced","secondary","no",228,"yes","no","unknown","no",28
39,"technician","single","unknown","no",45248,"yes","no","unknown","ye",122
50,"","married","unknown","no",-84,"yes","no","unknown","no",58
